Gene	Slope	P-value
YIPF7	YIPF7	YIPF7
GUF1	GUF1	GUF1
GNPDA2	GNPDA2	GNPDA2
RP11-700J17.1	RP11-700J17.1	RP11-700J17.1
RP11-55C6.1	RP11-55C6.1	RP11-55C6.1
PRDX4P1	PRDX4P1	PRDX4P1
RP11-362I1.2	RP11-362I1.2	RP11-362I1.2
RP11-362I1.1	RP11-362I1.1	RP11-362I1.1
THAP12P9	THAP12P9	THAP12P9
RP11-270L13.1	RP11-270L13.1	RP11-270L13.1
RNU6-931P	RNU6-931P	RNU6-931P
RN7SKP199	RN7SKP199	RN7SKP199
GABRG1	GABRG1	GABRG1
RP11-320H14.1	RP11-320H14.1	RP11-320H14.1
GABRA2	GABRA2	GABRA2
RP11-436F23.1	RP11-436F23.1	RP11-436F23.1
RNU6-412P	RNU6-412P	RNU6-412P
RAC1P2	RAC1P2	RAC1P2
COX7B2	COX7B2	COX7B2
GABRA4	GABRA4	GABRA4
GABRB1	GABRB1	GABRB1
RP11-731J8.2	RP11-731J8.2	RP11-731J8.2
COMMD8	COMMD8	COMMD8
RP11-731J8.3	RP11-731J8.3	RP11-731J8.3
ATP10D	ATP10D	ATP10D
RP11-731J8.1	RP11-731J8.1	RP11-731J8.1
AC092597.3	AC092597.3	AC092597.3
CORIN	CORIN	CORIN
MIR8053	MIR8053	MIR8053
RP11-100N21.1	RP11-100N21.1	RP11-100N21.1
RP11-121C2.3	RP11-121C2.3	RP11-121C2.3
RP11-121C2.2	RP11-121C2.2	RP11-121C2.2
NFXL1	NFXL1	NFXL1
NIPAL1	NIPAL1	NIPAL1
CNGA1	CNGA1	CNGA1
TXK	TXK	TXK
RNU6-838P	RNU6-838P	RNU6-838P
TEC	TEC	TEC
SLAIN2	SLAIN2	SLAIN2
SLC10A4	SLC10A4	SLC10A4
ZAR1	ZAR1	ZAR1
FRYL	FRYL	FRYL
RNU5E-3P	RNU5E-3P	RNU5E-3P
OCIAD1	OCIAD1	OCIAD1
OCIAD1-AS1	OCIAD1-AS1	OCIAD1-AS1
OCIAD2	OCIAD2	OCIAD2
RNU6-158P	RNU6-158P	RNU6-158P
RP11-317G22.2	RP11-317G22.2	RP11-317G22.2
CWH43	CWH43	CWH43
TPI1P4	TPI1P4	TPI1P4
RP11-1281K21.2	RP11-1281K21.2	RP11-1281K21.2
RP11-1281K21.3	RP11-1281K21.3	RP11-1281K21.3
RP11-1281K21.8	RP11-1281K21.8	RP11-1281K21.8
SNX18P23	SNX18P23	SNX18P23
RP11-1281K21.1	RP11-1281K21.1	RP11-1281K21.1
MTCO3P39	MTCO3P39	MTCO3P39
MTND3P22	MTND3P22	MTND3P22
RP11-241F15.1	RP11-241F15.1	RP11-241F15.1
ANKRD20A17P	ANKRD20A17P	ANKRD20A17P
RP11-241F15.3	RP11-241F15.3	RP11-241F15.3
RP11-241F15.5	RP11-241F15.5	RP11-241F15.5
RP11-1281K21.9	RP11-1281K21.9	RP11-1281K21.9
RP11-1281K21.10	RP11-1281K21.10	RP11-1281K21.10
MTCO3P42	MTCO3P42	MTCO3P42
RP11-241F15.7	RP11-241F15.7	RP11-241F15.7
RP11-241F15.9	RP11-241F15.9	RP11-241F15.9
SNX18P24	SNX18P24	SNX18P24
RP11-241F15.10	RP11-241F15.10	RP11-241F15.10
SNX18P25	SNX18P25	SNX18P25
DCUN1D4	DCUN1D4	DCUN1D4
DUTP7	DUTP7	DUTP7
RP11-365H22.2	RP11-365H22.2	RP11-365H22.2
RP11-61F5.1	RP11-61F5.1	RP11-61F5.1
LRRC66	LRRC66	LRRC66
SGCB	SGCB	SGCB
RP11-535C7.1	RP11-535C7.1	RP11-535C7.1
SPATA18	SPATA18	SPATA18
RP11-588F10.1	RP11-588F10.1	RP11-588F10.1
RNU6-1252P	RNU6-1252P	RNU6-1252P
USP46	USP46	USP46
USP46-AS1	USP46-AS1	USP46-AS1
RP11-177B4.2	RP11-177B4.2	RP11-177B4.2
DANCR	DANCR	DANCR
MIR4449	MIR4449	MIR4449
RP11-177B4.1	RP11-177B4.1	RP11-177B4.1
ERVMER34-1	ERVMER34-1	ERVMER34-1
LINC01618	LINC01618	LINC01618
RASL11B	RASL11B	RASL11B
SCFD2	SCFD2	SCFD2
RP11-752D24.2	RP11-752D24.2	RP11-752D24.2
RNU6-310P	RNU6-310P	RNU6-310P
FIP1L1	FIP1L1	FIP1L1
LNX1	LNX1	LNX1
LNX1-AS1	LNX1-AS1	LNX1-AS1
RP11-18M17.1	RP11-18M17.1	RP11-18M17.1
LNX1-AS2	LNX1-AS2	LNX1-AS2
RP11-317M11.1	RP11-317M11.1	RP11-317M11.1
RP11-89B16.1	RP11-89B16.1	RP11-89B16.1
RP11-89B16.2	RP11-89B16.2	RP11-89B16.2
RPL21P44	RPL21P44	RPL21P44
RP11-571I18.4	RP11-571I18.4	RP11-571I18.4
CHIC2	CHIC2	CHIC2
RP11-571I18.5	RP11-571I18.5	RP11-571I18.5
RP11-571I18.2	RP11-571I18.2	RP11-571I18.2
MORF4L2P1	MORF4L2P1	MORF4L2P1
GSX2	GSX2	GSX2
RPL22P13	RPL22P13	RPL22P13
PDGFRA	PDGFRA	PDGFRA
RP11-231C18.1	RP11-231C18.1	RP11-231C18.1
RP11-231C18.2	RP11-231C18.2	RP11-231C18.2
RP11-545H22.1	RP11-545H22.1	RP11-545H22.1
AC006552.1	AC006552.1	AC006552.1
KIT	KIT	KIT
RP11-273B19.2	RP11-273B19.2	RP11-273B19.2
RP11-273B19.1	RP11-273B19.1	RP11-273B19.1
RP11-463H12.2	RP11-463H12.2	RP11-463H12.2
RPL38P3	RPL38P3	RPL38P3
RNU6-410P	RNU6-410P	RNU6-410P
RP11-530I17.1	RP11-530I17.1	RP11-530I17.1
RN7SL424P	RN7SL424P	RN7SL424P
KDR	KDR	KDR
RN7SL822P	RN7SL822P	RN7SL822P
RP11-530I17.2	RP11-530I17.2	RP11-530I17.2
RNU6-746P	RNU6-746P	RNU6-746P
LRRC34P2	LRRC34P2	LRRC34P2
SRD5A3	SRD5A3	SRD5A3
FCF1P8	FCF1P8	FCF1P8
SRD5A3-AS1	SRD5A3-AS1	SRD5A3-AS1
RP11-177J6.1	RP11-177J6.1	RP11-177J6.1
TMEM165	TMEM165	TMEM165
CLOCK	CLOCK	CLOCK
RN7SKP30	RN7SKP30	RN7SKP30
RP11-528I4.2	RP11-528I4.2	RP11-528I4.2
PDCL2	PDCL2	PDCL2
NMU	NMU	NMU
RNU6-276P	RNU6-276P	RNU6-276P
RP11-345F18.1	RP11-345F18.1	RP11-345F18.1
EXOC1	EXOC1	EXOC1
RNU6-652P	RNU6-652P	RNU6-652P
CEP135	CEP135	CEP135
KIAA1211	KIAA1211	KIAA1211
RNA5SP161	RNA5SP161	RNA5SP161
RNU6-197P	RNU6-197P	RNU6-197P
MRPL22P1	MRPL22P1	MRPL22P1
AASDH	AASDH	AASDH
RPL7AP31	RPL7AP31	RPL7AP31
RP11-646I6.5	RP11-646I6.5	RP11-646I6.5
PPAT	PPAT	PPAT
RP11-646I6.6	RP11-646I6.6	RP11-646I6.6
RP11-646I6.3	RP11-646I6.3	RP11-646I6.3
PAICS	PAICS	PAICS
SRP72	SRP72	SRP72
ARL9	ARL9	ARL9
THEGL	THEGL	THEGL
GLDCP1	GLDCP1	GLDCP1
HOPX	HOPX	HOPX
RP11-630A13.4	RP11-630A13.4	RP11-630A13.4
RPL17P20	RPL17P20	RPL17P20
RP11-533F5.2	RP11-533F5.2	RP11-533F5.2
RN7SL492P	RN7SL492P	RN7SL492P
RN7SL357P	RN7SL357P	RN7SL357P
SPINK2	SPINK2	SPINK2
REST	REST	REST
RP11-738E22.3	RP11-738E22.3	RP11-738E22.3
NOA1	NOA1	NOA1
POLR2B	POLR2B	POLR2B
RNU6-998P	RNU6-998P	RNU6-998P
IGFBP7	IGFBP7	IGFBP7
UBE2CP3	UBE2CP3	UBE2CP3
IGFBP7-AS1	IGFBP7-AS1	IGFBP7-AS1
RP11-300M6.1	RP11-300M6.1	RP11-300M6.1
RPS26P24	RPS26P24	RPS26P24
RP11-319E12.1	RP11-319E12.1	RP11-319E12.1
RP11-319E12.2	RP11-319E12.2	RP11-319E12.2
RP11-685F15.1	RP11-685F15.1	RP11-685F15.1
RP11-4O3.1	RP11-4O3.1	RP11-4O3.1
RP11-4O3.2	RP11-4O3.2	RP11-4O3.2
SRIP1	SRIP1	SRIP1
RP11-25L5.2	RP11-25L5.2	RP11-25L5.2
RP11-577G20.1	RP11-577G20.1	RP11-577G20.1
RP11-577G20.2	RP11-577G20.2	RP11-577G20.2
RP11-506N2.1	RP11-506N2.1	RP11-506N2.1
RP11-340A13.2	RP11-340A13.2	RP11-340A13.2
RP11-340A13.1	RP11-340A13.1	RP11-340A13.1
RP11-340A13.3	RP11-340A13.3	RP11-340A13.3
RP11-622J8.1	RP11-622J8.1	RP11-622J8.1
RP11-725D20.1	RP11-725D20.1	RP11-725D20.1
RP11-525J21.1	RP11-525J21.1	RP11-525J21.1
RNU6-1325P	RNU6-1325P	RNU6-1325P
RP11-284H12.1	RP11-284H12.1	RP11-284H12.1
RP11-593F5.2	RP11-593F5.2	RP11-593F5.2
RP11-593F5.1	RP11-593F5.1	RP11-593F5.1
MIR548AG1	MIR548AG1	MIR548AG1
RP11-16N2.1	RP11-16N2.1	RP11-16N2.1
ADGRL3	ADGRL3	ADGRL3
RPL17P19	RPL17P19	RPL17P19
RP11-798L4.1	RP11-798L4.1	RP11-798L4.1
RP11-621K7.1	RP11-621K7.1	RP11-621K7.1
ADGRL3-AS1	ADGRL3-AS1	ADGRL3-AS1
RPS15AP17	RPS15AP17	RPS15AP17
RPL21P47	RPL21P47	RPL21P47
RP11-30P21.2	RP11-30P21.2	RP11-30P21.2
RP11-26C10.1	RP11-26C10.1	RP11-26C10.1
HMGN1P11	HMGN1P11	HMGN1P11
EXOC5P1	EXOC5P1	EXOC5P1
RP11-257A22.1	RP11-257A22.1	RP11-257A22.1
LARP1BP1	LARP1BP1	LARP1BP1
RP11-12K22.1	RP11-12K22.1	RP11-12K22.1
TECRL	TECRL	TECRL
RNU6-191P	RNU6-191P	RNU6-191P
DPP3P1	DPP3P1	DPP3P1
MTCO3P27	MTCO3P27	MTCO3P27
MTCYBP16	MTCYBP16	MTCYBP16
MTND6P16	MTND6P16	MTND6P16
MTND5P13	MTND5P13	MTND5P13
MTND4LP31	MTND4LP31	MTND4LP31
MTND3P24	MTND3P24	MTND3P24
MTCO3P28	MTCO3P28	MTCO3P28
RP11-158O16.1	RP11-158O16.1	RP11-158O16.1
RP11-707A18.1	RP11-707A18.1	RP11-707A18.1
RP11-633G11.1	RP11-633G11.1	RP11-633G11.1
EFTUD1P2	EFTUD1P2	EFTUD1P2
RP11-498E11.2	RP11-498E11.2	RP11-498E11.2
EPHA5	EPHA5	EPHA5
RP11-408P14.1	RP11-408P14.1	RP11-408P14.1
EPHA5-AS1	EPHA5-AS1	EPHA5-AS1
RP11-807H7.2	RP11-807H7.2	RP11-807H7.2
RNU2-40P	RNU2-40P	RNU2-40P
RP11-51P8.1	RP11-51P8.1	RP11-51P8.1
RP11-25H12.1	RP11-25H12.1	RP11-25H12.1
RP11-19C24.1	RP11-19C24.1	RP11-19C24.1
RP11-396M11.1	RP11-396M11.1	RP11-396M11.1
MIR1269A	MIR1269A	MIR1269A
RPS23P3	RPS23P3	RPS23P3
RNU6-699P	RNU6-699P	RNU6-699P
RP11-584P21.2	RP11-584P21.2	RP11-584P21.2
RNU1-63P	RNU1-63P	RNU1-63P
RP11-584P21.4	RP11-584P21.4	RP11-584P21.4
CENPC	CENPC	CENPC
STAP1	STAP1	STAP1
RP11-17P16.1	RP11-17P16.1	RP11-17P16.1
UBA6	UBA6	UBA6
RP11-17P16.2	RP11-17P16.2	RP11-17P16.2
UBA6-AS1	UBA6-AS1	UBA6-AS1
ST3GAL1P1	ST3GAL1P1	ST3GAL1P1
RP11-453E17.3	RP11-453E17.3	RP11-453E17.3
RP11-453E17.4	RP11-453E17.4	RP11-453E17.4
GNRHR	GNRHR	GNRHR
TMPRSS11CP	TMPRSS11CP	TMPRSS11CP
TMPRSS11D	TMPRSS11D	TMPRSS11D
TMPRSS11A	TMPRSS11A	TMPRSS11A
TMPRSS11GP	TMPRSS11GP	TMPRSS11GP
RNU6-95P	RNU6-95P	RNU6-95P
GCOM2	GCOM2	GCOM2
MTND2P41	MTND2P41	MTND2P41
TMPRSS11F	TMPRSS11F	TMPRSS11F
SYT14P1	SYT14P1	SYT14P1
FTLP10	FTLP10	FTLP10
TMPRSS11BNL	TMPRSS11BNL	TMPRSS11BNL
TMPRSS11B	TMPRSS11B	TMPRSS11B
RP11-642E20.5	RP11-642E20.5	RP11-642E20.5
RP11-642E20.2	RP11-642E20.2	RP11-642E20.2
RP11-642E20.3	RP11-642E20.3	RP11-642E20.3
APOOP4	APOOP4	APOOP4
YTHDC1	YTHDC1	YTHDC1
MT2P1	MT2P1	MT2P1
TMPRSS11E	TMPRSS11E	TMPRSS11E
UGT2B29P	UGT2B29P	UGT2B29P
UGT2B17	UGT2B17	UGT2B17
RP11-1267H10.2	RP11-1267H10.2	RP11-1267H10.2
RP11-1267H10.1	RP11-1267H10.1	RP11-1267H10.1
RP11-1267H10.3	RP11-1267H10.3	RP11-1267H10.3
UGT2B15	UGT2B15	UGT2B15
RP11-1267H10.4	RP11-1267H10.4	RP11-1267H10.4
CTD-2005D20.1	CTD-2005D20.1	CTD-2005D20.1
RP11-468N14.1	RP11-468N14.1	RP11-468N14.1
UGT2B10	UGT2B10	UGT2B10
RP11-468N14.3	RP11-468N14.3	RP11-468N14.3
RP11-468N14.4	RP11-468N14.4	RP11-468N14.4
RP11-468N14.5	RP11-468N14.5	RP11-468N14.5
RP11-468N14.6	RP11-468N14.6	RP11-468N14.6
RP11-468N14.7	RP11-468N14.7	RP11-468N14.7
RP11-468N14.13	RP11-468N14.13	RP11-468N14.13
RP11-468N14.8	RP11-468N14.8	RP11-468N14.8
RP11-468N14.09	RP11-468N14.09	RP11-468N14.09
UGT2A3	UGT2A3	UGT2A3
RP11-468N14.10	RP11-468N14.10	RP11-468N14.10
RP11-468N14.12	RP11-468N14.12	RP11-468N14.12
RP11-468N14.11	RP11-468N14.11	RP11-468N14.11
UGT2B27P	UGT2B27P	UGT2B27P
RP11-813N20.2	RP11-813N20.2	RP11-813N20.2
UGT2B26P	UGT2B26P	UGT2B26P
UGT2B7	UGT2B7	UGT2B7
RP13-644M16.5	RP13-644M16.5	RP13-644M16.5
RP13-644M16.1	RP13-644M16.1	RP13-644M16.1
RP13-644M16.3	RP13-644M16.3	RP13-644M16.3
RP13-644M16.2	RP13-644M16.2	RP13-644M16.2
RP13-644M16.4	RP13-644M16.4	RP13-644M16.4
RP11-704M14.1	RP11-704M14.1	RP11-704M14.1
UGT2B11	UGT2B11	UGT2B11
RP11-618I10.1	RP11-618I10.1	RP11-618I10.1
UGT2B28	UGT2B28	UGT2B28
RP11-618I10.4	RP11-618I10.4	RP11-618I10.4
RP11-618I10.2	RP11-618I10.2	RP11-618I10.2
RP11-618I10.3	RP11-618I10.3	RP11-618I10.3
UGT2B25P	UGT2B25P	UGT2B25P
RP11-790I12.6	RP11-790I12.6	RP11-790I12.6
UGT2B24P	UGT2B24P	UGT2B24P
RP11-790I12.3	RP11-790I12.3	RP11-790I12.3
RP11-790I12.4	RP11-790I12.4	RP11-790I12.4
UGT2B4	UGT2B4	UGT2B4
UGT2A3P7	UGT2A3P7	UGT2A3P7
RP11-401E5.2	RP11-401E5.2	RP11-401E5.2
UGT2A1	UGT2A1	UGT2A1
UGT2A2	UGT2A2	UGT2A2
SULT1B1	SULT1B1	SULT1B1
SULT1D1P	SULT1D1P	SULT1D1P
SULT1E1	SULT1E1	SULT1E1
RP11-736K12.1	RP11-736K12.1	RP11-736K12.1
CSN1S1	CSN1S1	CSN1S1
CSN2	CSN2	CSN2
STATH	STATH	STATH
HTN3	HTN3	HTN3
HTN1	HTN1	HTN1
CSN1S2AP	CSN1S2AP	CSN1S2AP
PRR27	PRR27	PRR27
ODAM	ODAM	ODAM
FDCSP	FDCSP	FDCSP
CSN3	CSN3	CSN3
CABS1	CABS1	CABS1
SMR3A	SMR3A	SMR3A
SMR3B	SMR3B	SMR3B
OPRPN	OPRPN	OPRPN
MUC7	MUC7	MUC7
AMTN	AMTN	AMTN
AMBN	AMBN	AMBN
ENAM	ENAM	ENAM
JCHAIN	JCHAIN	JCHAIN
UTP3	UTP3	UTP3
RNU6-520P	RNU6-520P	RNU6-520P
RNU6-784P	RNU6-784P	RNU6-784P
RP11-46J23.1	RP11-46J23.1	RP11-46J23.1
RUFY3	RUFY3	RUFY3
GRSF1	GRSF1	GRSF1
RNU6-891P	RNU6-891P	RNU6-891P
MOB1B	MOB1B	MOB1B
DCK	DCK	DCK
SLC4A4	SLC4A4	SLC4A4
RP11-1J11.1	RP11-1J11.1	RP11-1J11.1
LDHAL6EP	LDHAL6EP	LDHAL6EP
GC	GC	GC
RNA5SP163	RNA5SP163	RNA5SP163
RP11-545L5.1	RP11-545L5.1	RP11-545L5.1
NPFFR2	NPFFR2	NPFFR2
ADAMTS3	ADAMTS3	ADAMTS3
RP11-373J21.1	RP11-373J21.1	RP11-373J21.1
HNRNPA1P67	HNRNPA1P67	HNRNPA1P67
RNU4ATAC9P	RNU4ATAC9P	RNU4ATAC9P
RNU6ATAC5P	RNU6ATAC5P	RNU6ATAC5P
COX18	COX18	COX18
ANKRD17	ANKRD17	ANKRD17
HMGA1P2	HMGA1P2	HMGA1P2
RP11-692D12.1	RP11-692D12.1	RP11-692D12.1
SNORA3	SNORA3	SNORA3
RP11-580P21.1	RP11-580P21.1	RP11-580P21.1
ALB	ALB	ALB
AFP	AFP	AFP
AFM	AFM	AFM
RP11-622A1.2	RP11-622A1.2	RP11-622A1.2
RP11-622A1.1	RP11-622A1.1	RP11-622A1.1
RASSF6	RASSF6	RASSF6
AC112518.3	AC112518.3	AC112518.3
CXCL8	CXCL8	CXCL8
RP11-447E20.1	RP11-447E20.1	RP11-447E20.1
CXCL6	CXCL6	CXCL6
PF4V1	PF4V1	PF4V1
CXCL1	CXCL1	CXCL1
HNRNPA1P55	HNRNPA1P55	HNRNPA1P55
CXCL1P1	CXCL1P1	CXCL1P1
PF4	PF4	PF4
PPBP	PPBP	PPBP
CXCL5	CXCL5	CXCL5
RN7SL218P	RN7SL218P	RN7SL218P
CXCL3	CXCL3	CXCL3
PPBPP2	PPBPP2	PPBPP2
RP11-629B11.4	RP11-629B11.4	RP11-629B11.4
CXCL2	CXCL2	CXCL2
MTHFD2L	MTHFD2L	MTHFD2L
RP11-629B11.5	RP11-629B11.5	RP11-629B11.5
EPGN	EPGN	EPGN
EREG	EREG	EREG
RP11-727M10.1	RP11-727M10.1	RP11-727M10.1
AREG	AREG	AREG
AC142293.3	AC142293.3	AC142293.3
BTC	BTC	BTC
HSPE1P23	HSPE1P23	HSPE1P23
PARM1	PARM1	PARM1
RP11-44F21.3	RP11-44F21.3	RP11-44F21.3
RP11-44F21.2	RP11-44F21.2	RP11-44F21.2
RP11-44F21.5	RP11-44F21.5	RP11-44F21.5
RP11-44F21.4	RP11-44F21.4	RP11-44F21.4
RP11-598G2.1	RP11-598G2.1	RP11-598G2.1
RP11-542G1.1	RP11-542G1.1	RP11-542G1.1
RP11-542G1.2	RP11-542G1.2	RP11-542G1.2
RP11-542G1.3	RP11-542G1.3	RP11-542G1.3
RP11-567N4.2	RP11-567N4.2	RP11-567N4.2
RP11-567N4.3	RP11-567N4.3	RP11-567N4.3
RCHY1	RCHY1	RCHY1
THAP6	THAP6	THAP6
C4orf26	C4orf26	C4orf26
CDKL2	CDKL2	CDKL2
G3BP2	G3BP2	G3BP2
USO1	USO1	USO1
RNU2-16P	RNU2-16P	RNU2-16P
RP11-556N4.1	RP11-556N4.1	RP11-556N4.1
PPEF2	PPEF2	PPEF2
NAAA	NAAA	NAAA
SDAD1	SDAD1	SDAD1
RP11-630D6.5	RP11-630D6.5	RP11-630D6.5
CXCL9	CXCL9	CXCL9
ART3	ART3	ART3
CXCL10	CXCL10	CXCL10
CXCL11	CXCL11	CXCL11
RP11-630D6.1	RP11-630D6.1	RP11-630D6.1
NUP54	NUP54	NUP54
SCARB2	SCARB2	SCARB2
FAM47E	FAM47E	FAM47E
STBD1	STBD1	STBD1
CCDC158	CCDC158	CCDC158
SNX5P1	SNX5P1	SNX5P1
RNU6-1000P	RNU6-1000P	RNU6-1000P
RP11-356M17.1	RP11-356M17.1	RP11-356M17.1
SNORD50	SNORD50	SNORD50
SHROOM3	SHROOM3	SHROOM3
RP11-688H10.1	RP11-688H10.1	RP11-688H10.1
RNU6-145P	RNU6-145P	RNU6-145P
MIR4450	MIR4450	MIR4450
MIR548AH	MIR548AH	MIR548AH
AC107072.2	AC107072.2	AC107072.2
RP11-359D14.2	RP11-359D14.2	RP11-359D14.2
RP11-359D14.3	RP11-359D14.3	RP11-359D14.3
RP11-123J14.4	RP11-123J14.4	RP11-123J14.4
RP11-123J14.1	RP11-123J14.1	RP11-123J14.1
SOWAHB	SOWAHB	SOWAHB
SEPT11	SEPT11	SEPT11
TXNP6	TXNP6	TXNP6
CCNI	CCNI	CCNI
RPL7P17	RPL7P17	RPL7P17
RP11-1E1.2	RP11-1E1.2	RP11-1E1.2
RNU6-1187P	RNU6-1187P	RNU6-1187P
CCNG2	CCNG2	CCNG2
CTB-179I1.3	CTB-179I1.3	CTB-179I1.3
CTB-179I1.1	CTB-179I1.1	CTB-179I1.1
CTB-179I1.2	CTB-179I1.2	CTB-179I1.2
RP11-625I7.1	RP11-625I7.1	RP11-625I7.1
CXCL13	CXCL13	CXCL13
CNOT6L	CNOT6L	CNOT6L
MRPL1	MRPL1	MRPL1
RP13-488H8.1	RP13-488H8.1	RP13-488H8.1
RP11-777B9.1	RP11-777B9.1	RP11-777B9.1
HMGB1P44	HMGB1P44	HMGB1P44
HNRNPA1P56	HNRNPA1P56	HNRNPA1P56
RP11-777B9.4	RP11-777B9.4	RP11-777B9.4
RP11-777B9.5	RP11-777B9.5	RP11-777B9.5
FRAS1	FRAS1	FRAS1
SERBP1P5	SERBP1P5	SERBP1P5
MINOS1P4	MINOS1P4	MINOS1P4
ANXA3	ANXA3	ANXA3
LINC01094	LINC01094	LINC01094
HIGD1AP13	HIGD1AP13	HIGD1AP13
RP11-109G23.1	RP11-109G23.1	RP11-109G23.1
RP11-109G23.3	RP11-109G23.3	RP11-109G23.3
BMP2K	BMP2K	BMP2K
MIR5096	MIR5096	MIR5096
PAQR3	PAQR3	PAQR3
RN7SL127P	RN7SL127P	RN7SL127P
LINC01088	LINC01088	LINC01088
NAA11	NAA11	NAA11
GK2	GK2	GK2
LINC00989	LINC00989	LINC00989
OR7E94P	OR7E94P	OR7E94P
RP11-234K19.1	RP11-234K19.1	RP11-234K19.1
RP11-452C8.1	RP11-452C8.1	RP11-452C8.1
PCAT4	PCAT4	PCAT4
ANTXR2	ANTXR2	ANTXR2
KPNA2P1	KPNA2P1	KPNA2P1
RPSAP39	RPSAP39	RPSAP39
RP11-377G16.2	RP11-377G16.2	RP11-377G16.2
PRDM8	PRDM8	PRDM8
FGF5	FGF5	FGF5
C4orf22	C4orf22	C4orf22
RP11-395C17.1	RP11-395C17.1	RP11-395C17.1
BMP3	BMP3	BMP3
PRKG2	PRKG2	PRKG2
RP11-100N20.1	RP11-100N20.1	RP11-100N20.1
RNU5A-2P	RNU5A-2P	RNU5A-2P
RASGEF1B	RASGEF1B	RASGEF1B
MTCYBP44	MTCYBP44	MTCYBP44
COX5BP1	COX5BP1	COX5BP1
NPM1P41	NPM1P41	NPM1P41
HNRNPA3P13	HNRNPA3P13	HNRNPA3P13
RNU6-499P	RNU6-499P	RNU6-499P
BIN2P1	BIN2P1	BIN2P1
RP11-429B11.2	RP11-429B11.2	RP11-429B11.2
RP11-127B20.2	RP11-127B20.2	RP11-127B20.2
HNRNPD	HNRNPD	HNRNPD
RP11-127B20.3	RP11-127B20.3	RP11-127B20.3
IGBP1P4	IGBP1P4	IGBP1P4
SNORD42	SNORD42	SNORD42
HNRNPDL	HNRNPDL	HNRNPDL
ENOPH1	ENOPH1	ENOPH1
TMEM150C	TMEM150C	TMEM150C
RPL7AP26	RPL7AP26	RPL7AP26
RP11-791G16.2	RP11-791G16.2	RP11-791G16.2
RP11-791G16.5	RP11-791G16.5	RP11-791G16.5
RP11-791G16.4	RP11-791G16.4	RP11-791G16.4
LINC00575	LINC00575	LINC00575
SCD5	SCD5	SCD5
RP11-57B24.1	RP11-57B24.1	RP11-57B24.1
MIR575	MIR575	MIR575
RP11-57B24.2	RP11-57B24.2	RP11-57B24.2
SEC31A	SEC31A	SEC31A
THAP9-AS1	THAP9-AS1	THAP9-AS1
THAP9	THAP9	THAP9
LIN54	LIN54	LIN54
RNU6-615P	RNU6-615P	RNU6-615P
COPS4	COPS4	COPS4
PLAC8	PLAC8	PLAC8
RP11-576N17.5	RP11-576N17.5	RP11-576N17.5
RP11-576N17.2	RP11-576N17.2	RP11-576N17.2
RP11-576N17.3	RP11-576N17.3	RP11-576N17.3
COQ2	COQ2	COQ2
HPSE	HPSE	HPSE
RP11-576N17.6	RP11-576N17.6	RP11-576N17.6
RP11-576N17.4	RP11-576N17.4	RP11-576N17.4
HELQ	HELQ	HELQ
MRPS18C	MRPS18C	MRPS18C
FAM175A	FAM175A	FAM175A
SLC25A14P1	SLC25A14P1	SLC25A14P1
RPL30P5	RPL30P5	RPL30P5
GPAT3	GPAT3	GPAT3
RP11-767N15.1	RP11-767N15.1	RP11-767N15.1
RP11-8L2.1	RP11-8L2.1	RP11-8L2.1
RNU6-774P	RNU6-774P	RNU6-774P
RP11-274J2.1	RP11-274J2.1	RP11-274J2.1
RP11-42A4.1	RP11-42A4.1	RP11-42A4.1
NKX6-1	NKX6-1	NKX6-1
RPL3P13	RPL3P13	RPL3P13
CDS1	CDS1	CDS1
WDFY3	WDFY3	WDFY3
RN7SL552P	RN7SL552P	RN7SL552P
WDFY3-AS1	WDFY3-AS1	WDFY3-AS1
RNU6-469P	RNU6-469P	RNU6-469P
WDFY3-AS2	WDFY3-AS2	WDFY3-AS2
RN7SKP48	RN7SKP48	RN7SKP48
RP11-218C23.1	RP11-218C23.1	RP11-218C23.1
ARHGAP24	ARHGAP24	ARHGAP24
MIR4451	MIR4451	MIR4451
RP13-514E23.2	RP13-514E23.2	RP13-514E23.2
MAPK10	MAPK10	MAPK10
RP11-778J15.1	RP11-778J15.1	RP11-778J15.1
RN7SKP96	RN7SKP96	RN7SKP96
MIR4452	MIR4452	MIR4452
PTPN13	PTPN13	PTPN13
SLC10A6	SLC10A6	SLC10A6
RP11-397E7.1	RP11-397E7.1	RP11-397E7.1
C4orf36	C4orf36	C4orf36
RP11-397E7.2	RP11-397E7.2	RP11-397E7.2
RP11-397E7.4	RP11-397E7.4	RP11-397E7.4
AFF1	AFF1	AFF1
TECRP1	TECRP1	TECRP1
KLHL8	KLHL8	KLHL8
RP11-476C8.2	RP11-476C8.2	RP11-476C8.2
GAPDHP60	GAPDHP60	GAPDHP60
RP11-529H2.1	RP11-529H2.1	RP11-529H2.1
MIR5705	MIR5705	MIR5705
HSD17B13	HSD17B13	HSD17B13
HSD17B11	HSD17B11	HSD17B11
RN7SL681P	RN7SL681P	RN7SL681P
RP11-710E1.1	RP11-710E1.1	RP11-710E1.1
NUDT9	NUDT9	NUDT9
RP11-710E1.2	RP11-710E1.2	RP11-710E1.2
SPARCL1	SPARCL1	SPARCL1
RP11-742B18.1	RP11-742B18.1	RP11-742B18.1
DSPP	DSPP	DSPP
DMP1	DMP1	DMP1
